"Rank","Artist Name","Country","Genre","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Monthly Streams 1m","Spotify Monthly Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Twitter Followers 1m","Twitter Followers Total","Twitter Likes 1m","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"376","Plan B","Puerto Rico","Latin","333","376","N/A","3312585","N/A","4902969049","N/A","20211858","41301625","294","N/A","5770000","N/A","6447510029","N/A","29650895","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2138995","N/A","N/A","N/A","N/A","4247","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"377","Muse","United Kingdom","Rock","480","377","N/A","7649553","N/A","6067513025","N/A","13435572","87933464","1269","N/A","3700000","N/A","2650543632","N/A","17414962","1084","N/A","365800","N/A","N/A","N/A","2278893","N/A","N/A","14835421","N/A","2501577","N/A","N/A","4550751","N/A","652096","N/A","N/A","268","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"378","DJ Luian","Puerto Rico","Latin","923","378","N/A","2075867","N/A","4706233542","N/A","14745869","87225407","1071","N/A","570000","N/A","4225915766","N/A","22116894","2679","N/A","35700","N/A","N/A","N/A","4838900","N/A","N/A","2142246","N/A","217711","N/A","N/A","429291","N/A","15871","N/A","N/A","77272","N/A","N/A","N/A","143303","1","0","0","N/A","0.2640204616055095"
"379","Prince Royce","United States","Latin","222","379","N/A","7925816","N/A","5785367686","N/A","16661703","68888103","156","N/A","10200000","N/A","10177710327","N/A","50974331","440","N/A","7400000","N/A","N/A","N/A","15494375","N/A","N/A","33923887","N/A","6618229","N/A","N/A","2531187","N/A","66344","N/A","N/A","320","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"380","Tones And I","Australia","Pop","914","380","N/A","3020907","N/A","4406388832","N/A","14376902","82511665","835","N/A","5340000","N/A","4398144773","N/A","36382387","11904","N/A","944300","N/A","N/A","N/A","650864","N/A","N/A","531922","N/A","27168","N/A","N/A","509966","N/A","37186","N/A","N/A","293","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"381","Lenny Tavárez","Puerto Rico","Hip Hop","661","381","N/A","2255353","N/A","9979122979","N/A","14032057","71896786","430","N/A","3120000","N/A","7369955775","N/A","45893572","1456","N/A","2700000","N/A","N/A","N/A","6313982","N/A","N/A","2434382","N/A","500809","N/A","N/A","952591","N/A","44975","N/A","N/A","4832","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"382","Nickelback","Canada","Rock","461","382","N/A","6491388","N/A","7104992847","N/A","15532920","58580056","773","N/A","3570000","N/A","4431192008","N/A","24095271","2192","N/A","931100","N/A","N/A","N/A","966157","N/A","N/A","16334829","N/A","714850","N/A","N/A","2853957","N/A","114614","N/A","N/A","136","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"383","Mahalini Raharja","Indonesia","Pop","542","383","N/A","7963352","N/A","998018461","N/A","9208985","9587572","4666","N/A","687000","N/A","182396168","N/A","2510508","968","N/A","1900000","N/A","N/A","N/A","4431025","N/A","N/A","264982","N/A","251342","N/A","N/A","1084","N/A","1037","N/A","N/A","7924","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"384","Fifty Fifty","South Korea","Pop","344","384","N/A","1152046","N/A","842402562","N/A","28640916","158774222","340","N/A","1510000","N/A","281328875","N/A","8316044","922","N/A","1800000","N/A","N/A","N/A","846175","N/A","N/A","45069","N/A","52825","N/A","N/A","17559","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"385","Ricky Martin","Puerto Rico","Pop","303","385","N/A","7561917","N/A","4828005309","N/A","15850149","109538798","202","N/A","6900000","N/A","8341138868","N/A","27656599","326","N/A","1700000","N/A","N/A","N/A","18349009","N/A","N/A","12928148","N/A","20158334","N/A","N/A","2113876","N/A","12846","N/A","N/A","251","N/A","N/A","N/A","130074","10","2","20","N/A","85.36773481504379"
"386","Kings of Leon","United States","Rock","760","386","N/A","5277791","N/A","5440576327","N/A","15361251","115674488","1561","N/A","1800000","N/A","1944072987","N/A","8761464","6527","N/A","11000","N/A","N/A","N/A","718488","N/A","N/A","10218428","N/A","563014","N/A","N/A","2200404","N/A","648566","N/A","N/A","315","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"387","Imanbek","Kazakhstan","Electronic","1997","387","N/A","192020","N/A","3861212730","N/A","17116579","150555471","9354","N/A","164000","N/A","298341312","N/A","4246926","34388","N/A","99300","N/A","N/A","N/A","386732","N/A","N/A","8056","N/A","1353","N/A","N/A","47928","N/A","1528","N/A","N/A","674","N/A","N/A","N/A","790","67","13","884","N/A","6027.295090288493"
"388","Udit Narayan","India","Pop","323","388","N/A","11111879","N/A","2507187513","N/A","19772603","16038920","136","N/A","1990000","N/A","13647211546","N/A","59744469","3538","N/A","N/A","N/A","N/A","N/A","642226","N/A","N/A","6039791","N/A","23457","N/A","N/A","52706","N/A","N/A","N/A","N/A","3277","N/A","N/A","N/A","121420","10","0","0","N/A","3.022016346887898"
"389","Charli XCX","United Kingdom","Pop","559","389","N/A","2949011","N/A","7901898295","N/A","24037502","262114522","1367","N/A","2880000","N/A","3113275401","N/A","28490896","890","N/A","1900000","N/A","N/A","N/A","4594135","N/A","N/A","7062799","N/A","3653668","N/A","N/A","1590712","N/A","355856","N/A","N/A","430","N/A","N/A","N/A","501","115","24","3102","N/A","13415.730157499862"
"390","PARTYNEXTDOOR","Canada","R&B","692","390","N/A","5606012","N/A","7199177619","N/A","16661885","68621105","2248","N/A","1480000","N/A","1384534489","N/A","12196198","2130","N/A","317400","N/A","N/A","N/A","4545071","N/A","N/A","886381","N/A","1573011","N/A","N/A","646646","N/A","1385454","N/A","N/A","3265","N/A","N/A","N/A","66729","21","2","53","N/A","79.93241099858155"
"391","Vishal & Shekhar","India","Pop","1016","391","N/A","5125942","N/A","2343540269","N/A","21654038","15551282","960","N/A","190000","N/A","4029239621","N/A","23113685","20593","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2939489","N/A","1126","N/A","N/A","30106","N/A","N/A","N/A","N/A","49198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"392","6LACK","United States","R&B","837","392","N/A","4415189","N/A","6671445081","N/A","15090529","79416349","883","N/A","1830000","N/A","2176128544","N/A","22234871","3088","N/A","393600","N/A","N/A","N/A","2279029","N/A","N/A","2593488","N/A","1041032","N/A","N/A","363011","N/A","415272","N/A","N/A","4451","N/A","N/A","N/A","27288","88","9","107","N/A","141.8704960666754"
"393","Cigarettes After Sex","United States","Pop","339","393","N/A","7920139","N/A","4211522745","N/A","17621063","54474864","1157","N/A","2770000","N/A","1035154972","N/A","12017037","1140","N/A","N/A","N/A","N/A","N/A","3246159","N/A","N/A","1046143","N/A","503464","N/A","N/A","432648","N/A","365829","N/A","N/A","4572","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"394","SONU NIGAM","India","Pop","396","394","N/A","13052918","N/A","1845155272","N/A","16973474","14615986","327","N/A","2470000","N/A","5387117590","N/A","36896253","1630","N/A","N/A","N/A","N/A","N/A","1942449","N/A","N/A","21607142","N/A","39405","N/A","N/A","149847","N/A","N/A","N/A","N/A","4941","N/A","N/A","N/A","126059","1","1","81","N/A","27.42715738721321"
"395","R3hab","Netherlands","Electronic","762","395","N/A","2507840","N/A","6833096587","N/A","23153330","204500861","2177","N/A","1870000","N/A","2033943272","N/A","21182179","3818","N/A","201100","N/A","N/A","N/A","2648199","N/A","N/A","6578478","N/A","1030151","N/A","N/A","1717168","N/A","3929121","N/A","N/A","676","N/A","N/A","N/A","656","636","173","11766","N/A","15787.501603635064"
"396","Pearl Jam","United States","Rock","569","396","N/A","8375157","N/A","4724058285","N/A","13278715","79811409","1399","N/A","2040000","N/A","1364999136","N/A","7834253","1992","N/A","170700","N/A","N/A","N/A","3073060","N/A","N/A","10289812","N/A","3478621","N/A","N/A","3061704","N/A","40298","N/A","N/A","154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"397","Michael Bublé","Canada","Pop","704","397","N/A","5968324","N/A","8714883549","N/A","11525273","62992619","1465","N/A","3690000","N/A","2328058644","N/A","14735255","993","N/A","2600000","N/A","N/A","N/A","3403688","N/A","N/A","8145245","N/A","2111212","N/A","N/A","1421617","N/A","101629","N/A","N/A","240","N/A","N/A","N/A","119013","3","0","0","N/A","0.9739479785822975"
"398","PinkPantheress","United Kingdom","Pop","537","398","N/A","2327052","N/A","2370829120","N/A","26148283","122278041","1208","N/A","1170000","N/A","264227269","N/A","5475988","4398","N/A","2600000","N/A","N/A","N/A","1557306","N/A","N/A","N/A","N/A","42295","N/A","N/A","45867","N/A","234259","N/A","N/A","1352","N/A","N/A","N/A","6243","3","2","106","N/A","318.7798100661925"
"399","Niall Horan","Ireland","Pop","245","399","N/A","9758058","N/A","6123343967","N/A","17426903","137524940","1140","N/A","4620000","N/A","1124938939","N/A","24429864","106","N/A","5800000","N/A","N/A","N/A","32598529","N/A","N/A","9235948","N/A","40876929","N/A","N/A","824330","N/A","59015","N/A","N/A","707","N/A","N/A","N/A","37519","10","1","7","N/A","90.50944725295113"
"400","The Cure","United Kingdom","Rock","573","400","N/A","4726530","N/A","7977140604","N/A","16739496","60102184","1525","N/A","1250000","N/A","1098591050","N/A","7415794","2900","N/A","N/A","N/A","N/A","N/A","925178","N/A","N/A","6680176","N/A","238531","N/A","N/A","2024535","N/A","36762","N/A","N/A","118","N/A","N/A","N/A","106776","7","1","3","N/A","5.011297905837386"
"401","Carly Rae Jepsen","Canada","Pop","565","401","N/A","5242581","N/A","3609170699","N/A","18867923","84934516","652","N/A","4120000","N/A","2993540353","N/A","20398085","1284","N/A","539100","N/A","N/A","N/A","2642835","N/A","N/A","10421026","N/A","9459147","N/A","N/A","2432431","N/A","11472","N/A","N/A","360","N/A","N/A","N/A","62675","65","4","32","N/A","87.08217960973042"
"402","Young Miko","Puerto Rico","Hip Hop","151","402","N/A","960542","N/A","1108481072","N/A","27729650","157262666","725","N/A","965000","N/A","177234206","N/A","3474691","87","N/A","4200000","N/A","N/A","N/A","4530756","N/A","N/A","N/A","N/A","78624","N/A","N/A","9931","N/A","5927","N/A","N/A","23007","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"403","R.E.M.","United States","Rock","684","403","N/A","4147456","N/A","3736742996","N/A","17998373","105953858","1433","N/A","1460000","N/A","2091032508","N/A","9649831","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2336169","N/A","N/A","N/A","N/A","67","N/A","N/A","N/A","138835","3","0","0","N/A","0.7920613848165285"
"404","DALEX","United States","Latin","513","404","N/A","4754439","N/A","7142399365","N/A","11922842","68398951","295","N/A","6250000","N/A","9434632030","N/A","49976519","2459","N/A","1700000","N/A","N/A","N/A","3554981","N/A","N/A","2857820","N/A","751115","N/A","N/A","728179","N/A","37727","N/A","N/A","2847","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"405","Tears For Fears","United Kingdom","Rock","388","405","N/A","3007277","N/A","3849550975","N/A","19628594","96985963","577","N/A","1630000","N/A","1107409781","N/A","8950221","2517","N/A","722600","N/A","N/A","N/A","483711","N/A","N/A","2059643","N/A","130263","N/A","N/A","873015","N/A","471465","N/A","N/A","114","N/A","N/A","N/A","60426","32","2","30","N/A","70.62114360553005"
"406","Steve Aoki","United States","Electronic","560","406","N/A","3784582","N/A","6769069563","N/A","17150092","126280523","1445","N/A","3170000","N/A","2461401602","N/A","28923468","343","N/A","3000000","N/A","N/A","N/A","11325096","N/A","N/A","8580833","N/A","8130884","N/A","N/A","2017590","N/A","4175108","N/A","N/A","985","N/A","N/A","N/A","665","733","259","16799","N/A","11803.480275094906"
"407","Machine Gun Kelly","United States","Hip Hop","445","407","N/A","5127375","N/A","10775652643","N/A","13470510","51450960","223","N/A","8820000","N/A","5698851326","N/A","61018620","1125","N/A","3800000","N/A","N/A","N/A","9166095","N/A","N/A","6698978","N/A","1594333","N/A","N/A","529948","N/A","375580","N/A","N/A","824","N/A","N/A","N/A","55596","84","7","83","N/A","79.975774424867"
"408","Bon Iver","United States","Pop","1410","408","N/A","3466924","N/A","5212733543","N/A","14897978","116397382","4887","N/A","563000","N/A","677388490","N/A","6059772","9767","N/A","13300","N/A","N/A","N/A","822115","N/A","N/A","1787457","N/A","730013","N/A","N/A","475317","N/A","149579","N/A","N/A","2814","N/A","N/A","N/A","42447","31","0","0","N/A","23.351701611727524"
"409","KISS","United States","Rock","495","409","N/A","8820118","N/A","3373369825","N/A","13179601","79119906","735","N/A","2580000","N/A","1323053964","N/A","10412890","1957","N/A","49100","N/A","N/A","N/A","2387974","N/A","N/A","12001645","N/A","1768667","N/A","N/A","2510612","N/A","38934","N/A","N/A","183","N/A","N/A","N/A","102820","25","0","0","N/A","9.768236873154562"
"410","Jimin (지민)","South Korea","Pop","156","410","N/A","6351062","N/A","1761529460","N/A","9532932","65736226","15474","N/A","N/A","N/A","227925351","N/A","4447316","81","N/A","N/A","N/A","N/A","N/A","50965160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57772","N/A","N/A","N/A","N/A","41722","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"411","Maiara & Maraisa","Brazil","Latin","298","411","N/A","13189723","N/A","5378729527","N/A","10392820","59786585","343","N/A","9540000","N/A","7249821118","N/A","37714888","757","N/A","4700000","N/A","N/A","N/A","12492649","N/A","N/A","8702772","N/A","2758964","N/A","N/A","4019631","N/A","28991","N/A","N/A","642","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"412","Mambo Kingz","Puerto Rico","Hip Hop","1208","412","N/A","224929","N/A","4351293004","N/A","14570908","86444674","759","N/A","149000","N/A","4385695537","N/A","22013728","11225","N/A","12800","N/A","N/A","N/A","832618","N/A","N/A","661649","N/A","129878","N/A","N/A","327101","N/A","N/A","N/A","N/A","9190","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"413","Tulus","Indonesia","Pop","736","413","N/A","12910501","N/A","2034738751","N/A","8884113","7063603","2236","N/A","2020000","N/A","1108637021","N/A","8544237","6765","N/A","N/A","N/A","N/A","N/A","2249732","N/A","N/A","149509","N/A","465672","N/A","N/A","45884","N/A","N/A","N/A","N/A","6365","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"414","Stray Kids (스트레이 키즈)","South Korea","Pop","41","414","N/A","12373174","N/A","5139915301","N/A","8275889","18661579","115","N/A","13800000","N/A","5534259681","N/A","270907959","6","N/A","20200000","N/A","N/A","N/A","26893525","N/A","N/A","3172276","N/A","9319913","N/A","N/A","832611","N/A","N/A","N/A","N/A","4379","N/A","N/A","N/A","50141","3","1","3","N/A","18.710494623379958"
"415","Frank Sinatra","United States","Pop","733","415","N/A","6514321","N/A","9050891061","N/A","13994342","62240566","2377","N/A","2060000","N/A","481299281","N/A","5007246","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2155814","N/A","115691","N/A","N/A","150","N/A","N/A","N/A","69773","142","0","0","N/A","77.88319194858614"
"416","Galantis","Sweden","Electronic","1050","416","N/A","3380497","N/A","6564349325","N/A","13711434","122384124","1847","N/A","3580000","N/A","2147049295","N/A","19974233","11427","N/A","62000","N/A","N/A","N/A","1076561","N/A","N/A","1375734","N/A","255186","N/A","N/A","1626218","N/A","488136","N/A","N/A","308","N/A","N/A","N/A","1343","240","95","4795","N/A","10414.56810975544"
"417","JID","United States","Hip Hop","836","417","N/A","1299994","N/A","4518797588","N/A","20829671","88776330","1375","N/A","915000","N/A","1165920290","N/A","19530120","6028","N/A","N/A","N/A","N/A","N/A","1544125","N/A","N/A","416601","N/A","702727","N/A","N/A","3413","N/A","215204","N/A","N/A","2376","N/A","N/A","N/A","33216","55","9","171","N/A","83.84262157844972"
"418","Carlos Vives","Colombia","Pop","381","418","N/A","6097247","N/A","3927389609","N/A","14793139","82825600","128","N/A","5840000","N/A","6838205914","N/A","22450676","1333","N/A","2600000","N/A","N/A","N/A","7806538","N/A","N/A","6215059","N/A","5316046","N/A","N/A","2340161","N/A","10277","N/A","N/A","507","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"419","Sunidhi Chauhan","India","Pop","484","419","N/A","15473394","N/A","1582612435","N/A","15380208","16538651","283","N/A","209000","N/A","8624375126","N/A","45367414","2282","N/A","N/A","N/A","N/A","N/A","1971743","N/A","N/A","12866037","N/A","3886653","N/A","N/A","92356","N/A","1612","N/A","N/A","3227","N/A","N/A","N/A","143303","1","0","0","N/A","0.2640204616055095"
"420","Alejandro Sanz","Spain","Pop","430","420","N/A","7412777","N/A","5957782655","N/A","13648927","85225748","413","N/A","3110000","N/A","4966234290","N/A","19043369","642","N/A","643400","N/A","N/A","N/A","7276957","N/A","N/A","8660529","N/A","19789915","N/A","N/A","1292832","N/A","8857","N/A","N/A","483","N/A","N/A","N/A","138835","3","0","0","N/A","0.7920613848165285"
"421","Calibre 50","Mexico","Latin","282","421","N/A","10559491","N/A","5055110369","N/A","12014118","23164763","144","N/A","7430000","N/A","7898623537","N/A","33660841","3014","N/A","1300000","N/A","N/A","N/A","2245686","N/A","N/A","17729496","N/A","74434","N/A","N/A","1842852","N/A","42233","N/A","N/A","926","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"422","Daryl Hall & John Oates","United States","Rock","1516","422","N/A","2194979","N/A","2800442113","N/A","16654735","112678192","2506","N/A","678000","N/A","660627001","N/A","4630898","12200","N/A","249300","N/A","N/A","N/A","196461","N/A","N/A","1432837","N/A","86840","N/A","N/A","25800","N/A","5283","N/A","N/A","15453","N/A","N/A","N/A","143303","1","0","0","N/A","0.2640204616055095"
"423","Jeremih","United States","R&B","802","423","N/A","6505928","N/A","8774174997","N/A","12181636","83161327","626","N/A","2480000","N/A","4255841731","N/A","33370500","4531","N/A","201000","N/A","N/A","N/A","1318286","N/A","N/A","2519511","N/A","893568","N/A","N/A","879706","N/A","260590","N/A","N/A","2287","N/A","N/A","N/A","11076","121","9","377","N/A","408.294189116873"
"424","Tanishk Bagchi","India","Pop","393","424","N/A","3330058","N/A","4425421254","N/A","20176792","17334822","97","N/A","43500","N/A","24798241712","N/A","165142624","1049","N/A","23300","N/A","N/A","N/A","6746185","N/A","N/A","352700","N/A","26760","N/A","N/A","5720","N/A","N/A","N/A","N/A","18671","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"425","George Michael","United Kingdom","Pop","505","425","N/A","4393597","N/A","3419780081","N/A","16646123","108949777","481","N/A","3090000","N/A","2677496333","N/A","16919917","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1131370","N/A","29663","N/A","N/A","77","N/A","N/A","N/A","128003","12","0","0","N/A","3.168245539266115"
"426","Baby Keem","United States","Hip Hop","867","426","N/A","1647380","N/A","3242232508","N/A","17336250","53371176","3563","N/A","808000","N/A","287225028","N/A","5289297","6108","N/A","230900","N/A","N/A","N/A","1467600","N/A","N/A","114899","N/A","256700","N/A","N/A","69757","N/A","194195","N/A","N/A","8832","N/A","N/A","N/A","65096","4","0","0","N/A","11.191126554938863"
"427","Tiago PZK","Argentina","Pop","255","427","N/A","3852000","N/A","3532520246","N/A","20101072","115487011","586","N/A","4330000","N/A","2680846110","N/A","32565122","386","N/A","3800000","N/A","N/A","N/A","6654266","N/A","N/A","253003","N/A","1690586","N/A","N/A","214026","N/A","N/A","N/A","N/A","1325","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"428","Jesse & Joy","Mexico","Pop","383","428","N/A","8020792","N/A","4288805291","N/A","13600252","46364001","410","N/A","7800000","N/A","6710845961","N/A","28284266","1424","N/A","1200000","N/A","N/A","N/A","4018613","N/A","N/A","15982886","N/A","5211997","N/A","N/A","1168535","N/A","12045","N/A","N/A","952","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"429","Jax Jones","United Kingdom","Electronic","880","429","N/A","1134087","N/A","5762915141","N/A","16490011","172451325","932","N/A","1560000","N/A","1815928880","N/A","12970336","6603","N/A","191000","N/A","N/A","N/A","232663","N/A","N/A","183642","N/A","37592","N/A","N/A","368248","N/A","66829","N/A","N/A","175","N/A","N/A","N/A","312","175","42","3237","N/A","18852.849148486297"
"430","Kane Brown","United States","Country","526","430","N/A","5083212","N/A","5312318915","N/A","12954214","69590175","496","N/A","3560000","N/A","2594445464","N/A","17406623","1784","N/A","5300000","N/A","N/A","N/A","3535594","N/A","N/A","2696574","N/A","1767814","N/A","N/A","194477","N/A","69410","N/A","N/A","335","N/A","N/A","N/A","45489","11","1","1","N/A","25.909208396560476"
"431","The Cranberries","Ireland","Rock","545","431","N/A","3570166","N/A","4305616006","N/A","16858783","98976426","452","N/A","3270000","N/A","3190310519","N/A","15953022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1557712","N/A","14190","N/A","N/A","204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"432","(G)I-DLE ((여자)아이들)","South Korea","Pop","70","432","N/A","6974271","N/A","2447503013","N/A","11776115","29767831","84","N/A","6700000","N/A","10832414790","N/A","147486510","37","N/A","6800000","N/A","N/A","N/A","11459323","N/A","N/A","1077792","N/A","1910362","N/A","N/A","452344","N/A","34096","N/A","N/A","11299","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"433","Rammstein","Germany","Metal","259","433","N/A","8566817","N/A","6617877935","N/A","10846989","23397667","419","N/A","7580000","N/A","4847823031","N/A","35778129","588","N/A","1900000","N/A","N/A","N/A","3016642","N/A","N/A","8670867","N/A","559470","N/A","N/A","2202285","N/A","92706","N/A","N/A","462","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"434","Gwen Stefani","United States","Pop","490","434","N/A","6197370","N/A","3957235622","N/A","15088069","101644008","1211","N/A","2150000","N/A","1864409611","N/A","14869954","365","N/A","3100000","N/A","N/A","N/A","16876642","N/A","N/A","10328449","N/A","2694584","N/A","N/A","1031195","N/A","20363","N/A","N/A","529","N/A","N/A","N/A","59054","23","8","336","N/A","1129.195186213122"
"435","Logic","United States","Hip Hop","883","435","N/A","5933455","N/A","11703735938","N/A","12108832","57070085","692","N/A","3340000","N/A","3746766784","N/A","46416017","1226","N/A","1900000","N/A","N/A","N/A","6976671","N/A","N/A","2450381","N/A","2208967","N/A","N/A","444344","N/A","605702","N/A","N/A","8289","N/A","N/A","N/A","12678","N/A","N/A","N/A","N/A","N/A"
"436","Alejandro Fernandez","Mexico","Latin","502","436","N/A","7100432","N/A","5438030919","N/A","15034409","64054549","342","N/A","4260000","N/A","5101873883","N/A","17011618","1465","N/A","N/A","N/A","N/A","N/A","4713299","N/A","N/A","10672934","N/A","6754575","N/A","N/A","1316126","N/A","8451","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"437","Lynyrd Skynyrd","United States","Rock","731","437","N/A","4799095","N/A","3099909220","N/A","16153219","89195930","1750","N/A","1130000","N/A","622984624","N/A","4224437","10152","N/A","1886","N/A","N/A","N/A","267860","N/A","N/A","5254665","N/A","166845","N/A","N/A","845063","N/A","N/A","N/A","N/A","220","N/A","N/A","N/A","120771","20","0","0","N/A","5.329081129462091"
"438","Girl in Red","Norway","Pop","954","438","N/A","6220976","N/A","3073696698","N/A","12344177","42775144","3707","N/A","2480000","N/A","419078695","N/A","12961512","2845","N/A","2700000","N/A","N/A","N/A","2800524","N/A","N/A","368854","N/A","303682","N/A","N/A","569276","N/A","260763","N/A","N/A","3942","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"439","Céline Dion","Canada","Pop","234","439","N/A","7635001","N/A","4645044987","N/A","13333984","79761557","178","N/A","7720000","N/A","5125962305","N/A","28916663","848","N/A","2500000","N/A","N/A","N/A","6148316","N/A","N/A","27851602","N/A","938541","N/A","N/A","2708303","N/A","179466","N/A","N/A","153","N/A","N/A","N/A","95049","7","0","0","N/A","10.216857235380772"
"440","Luis R Conriquez","Mexico","Latin","448","440","N/A","3307549","N/A","3901616046","N/A","16826393","43430460","4759","N/A","419000","N/A","160260617","N/A","1293238","512","N/A","3600000","N/A","N/A","N/A","2368084","N/A","N/A","2453798","N/A","N/A","N/A","N/A","135327","N/A","23041","N/A","N/A","19648","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"441","Kehlani","United States","R&B","544","441","N/A","7134048","N/A","7925843889","N/A","13584143","62054788","948","N/A","3750000","N/A","3139809653","N/A","34087624","499","N/A","5100000","N/A","N/A","N/A","14941560","N/A","N/A","5073223","N/A","82471","N/A","N/A","564688","N/A","777116","N/A","N/A","2643","N/A","N/A","N/A","19691","31","4","75","N/A","159.40312937781658"
"442","Russ","United States","Hip Hop","564","442","N/A","4914344","N/A","7622194541","N/A","16083984","78248813","417","N/A","5880000","N/A","3720184334","N/A","36888219","1187","N/A","3900000","N/A","N/A","N/A","4197863","N/A","N/A","2758438","N/A","2181465","N/A","N/A","210453","N/A","910810","N/A","N/A","4158","N/A","N/A","N/A","19182","170","13","184","N/A","282.90460935578295"
"443","Yng Lvcas","Mexico","Hip Hop","362","443","N/A","181604","N/A","911217232","N/A","25738207","149992573","405","N/A","738000","N/A","558761675","N/A","2618910","6056","N/A","102000","N/A","N/A","N/A","206525","N/A","N/A","12512","N/A","N/A","N/A","N/A","2589","N/A","305","N/A","N/A","5647","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"444","King","India","Pop","379","444","N/A","5460410","N/A","1206781071","N/A","13578426","7632242","459","N/A","6080000","N/A","1344656893","N/A","27399401","896","N/A","1865","N/A","N/A","N/A","3266673","N/A","N/A","82325","N/A","44780","N/A","N/A","356","N/A","2003","N/A","N/A","29198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"445","Vishal Dadlani","India","Pop","734","445","N/A","8942576","N/A","1836782533","N/A","16450801","15326890","1073","N/A","86300","N/A","3492993943","N/A","17222184","1249","N/A","N/A","N/A","N/A","N/A","2968391","N/A","N/A","1749665","N/A","2950031","N/A","N/A","20466","N/A","1363","N/A","N/A","7758","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
